ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,start_location,end_location,minutes_traveled,avg_speed_kmh,distance_meters
000001F70CA28603,classic_bike,14:43.3,17:17.7,Peoria St & Jackson Blvd,13158,900 W Harrison St,13028,41.877642,-87.649618,41.874754,-87.649807,member,0xE6100000010C4BCCB39256F044402639605793E955C0,0xE6100000010CC90567F0F7EF44408F6D197096E955C0,3,6.42,321
0000033BAC7DD047,electric_bike,52:27.6,10:31.6,NULL,NULL,NULL,NULL,41.93,-87.63,41.91,-87.65,member,0xE6100000010CD7A3703D0AF74440B81E85EB51E855C0,0xE6100000010C14AE47E17AF444409A99999999E955C0,18,9.243333333,2773
000004FC986C33E5,electric_bike,25:52.3,56:22.0,Wabash Ave & Roosevelt Rd,TA1305000002,Clybourn Ave & Division St,TA1307000115,41.867227,-87.625961,41.904613,-87.640552,member,0xE6100000010CA69A594B01EF444093E4B9BE0FE855C0,0xE6100000010CAA44D95BCAF34440CBD8D0CDFEE855C0,31,8.370978543,4325
00001004F8DF01C8,classic_bike,09:20.1,17:08.3,Prairie Ave & Garfield Blvd,TA1307000160,Woodlawn Ave & 55th St,TA1307000164,41.794853,-87.618691,41.795264,-87.596471,casual,0xE6100000010C52103CBEBDE5444017D522A298E755C0,0xE6100000010CD4D7F335CBE54440CB80B3942CE655C0,8,13.85253463,1847
00001352515FD211,classic_bike,01:40.8,07:46.4,Calumet Ave & 33rd St,13217,MLK Jr Dr & 29th St,TA1307000139,41.8349,-87.61793,41.842052,-87.617,member,0xE6100000010C17B7D100DEEA4440E84D452A8CE755C0,0xE6100000010C05C4245CC8EB4440736891ED7CE755C0,6,7.98,798
000017F398759373,classic_bike,16:36.8,21:07.5,Western Ave & Granville Ave,KA1504000129,Maplewood Ave & Peterson Ave,KA1504000130,41.994161,-87.689438,41.990236,-87.69337,member,0xE6100000010CB5FAEAAA40FF4440A8A78FC01FEC55C0,0xE6100000010C33A9A10DC0FE4440C381902C60EC55C0,5,6.528026112,544
000018486CBEF63A,classic_bike,11:53.0,18:26.0,Wolcott Ave & Polk St,TA1309000064,Western Ave & Fillmore St,644,41.871262,-87.673688,41.868563,-87.686234,member,0xE6100000010CB01F628385EF44404AED45B41DEB55C0,0xE6100000010C01C287122DEF4440CFD90242EBEB55C0,7,9.291481666,1084
000018FEE543E653,electric_bike,56:21.9,04:40.5,Kingsbury St & Kinzie St,KA1503000043,NULL,NULL,41.889177,-87.638506,41.88,-87.64,casual,0xE6100000010C7DAD4B8DD0F1444030134548DDE855C0,0xE6100000010C713D0AD7A3F04440295C8FC2F5E855C0,8,7.702519256,1027
00001FE687D42F41,classic_bike,59:39.8,01:55.7,Damen Ave & Chicago Ave,13132,Wood St & Chicago Ave,637,41.895769,-87.67722,41.895634,-87.672069,member,0xE6100000010CA4E2FF8EA8F244409E0C8E9257EB55C0,0xE6100000010CC4978922A4F24440F2E9B12D03EB55C0,2,12.8401284,428
0000220D8AE2C47E,electric_bike,01:39.3,05:39.3,NULL,NULL,St. Clair St & Erie St,13016,41.89,-87.62,41.894345,-87.622798,member,0xE6100000010C52B81E85EBF1444048E17A14AEE755C0,0xE6100000010CAA2B9FE579F24440E98024ECDBE755C0,4,8.040080401,536
